,CO_cross_NDVI,CO_cross_NLST,CO_cross_NTL,NO2_cross_NDVI,NO2_cross_NLST,NO2_cross_NTL,O3_cross_NDVI,O3_cross_NLST,O3_cross_NTL,SO2_cross_NDVI,SO2_cross_NLST,SO2_cross_NTL,HCHO_cross_NDVI,HCHO_cross_NLST,HCHO_cross_NTL
0,8.93830309342698,14.34422634049886,12.073766710448588,8.45689255603267,13.96397516045187,11.881950719829884,7.985137211943687,17.9665163169996,14.759323497909554,6.481073916413455,9.567572808539728,8.088794597786146,7.043726811600967,12.758511532857295,10.874210860974872
1,9.573428554687627,15.241943711998685,12.593622104717994,8.957407213908402,14.600684646347101,12.083910678454174,8.462167109813798,18.818056101473868,15.732973338395375,6.905058294685869,9.93614503742748,8.15839045854635,7.720071799396154,13.558134885356328,11.299040988282815
2,10.133636408007614,15.665637531187562,12.771293081346492,9.385659732366587,14.714124211138673,11.849694794521547,9.546081753563922,19.539686061574866,16.389828684224906,6.9066091287762355,10.174044543692448,8.16078294012826,8.61879902445816,14.078645183926607,11.65682605586872
3,10.478344543948605,15.545009074045012,12.591446619526032,9.87753680775743,14.951827905121887,11.943465435371134,10.867846884577968,20.19352653251881,16.833031291087046,6.673856427628288,10.134267577460031,8.093030271959758,9.467480591754663,14.114466607195702,11.483928271725446
4,10.242651936169983,15.687552571448233,12.562305737371766,9.858748033128467,14.896858632711698,11.82325306716372,12.180471196142626,20.146409864190584,16.640058682391665,6.249678811060187,10.307726491388689,8.111635285640793,9.771753171166013,13.981361413431838,11.280067026912054
5,9.328714329612712,15.885612921610047,12.624090184928152,9.348963575602207,15.123405633892453,11.928471021534948,13.375014120878324,20.923105261959048,16.8898910536721,5.538771453133992,10.808594771361129,8.751250563896214,9.344115604260093,13.804014275687354,10.946115509999235
6,8.228980914144161,16.576240907743202,13.126409303401811,8.477762707674609,15.453922714856585,12.279470745731814,14.076943587555276,21.270083148539115,16.765557358200248,5.148527093157938,11.23143144097033,9.14581226348962,8.291530828135041,14.549763419354942,11.350981515459784
7,7.723720820842429,17.52030138842275,14.056029065653414,7.828070574981085,16.24339836629175,12.836391918762665,14.438112682858954,21.556060913436646,17.05031033275143,5.1977564297918395,11.983554775444453,9.813005232470928,7.525281604924,14.995678823576228,11.762996820963245
8,8.015228995194352,18.334797246634498,15.059520178564885,7.621592752358852,16.904276329097208,13.466654189859014,14.408150486215192,21.83499484657245,17.393614100131476,5.6100415418332865,12.539091302838074,10.323797555263877,7.393488234274401,16.179735502144105,13.008082742294388
9,9.044870627850734,18.90972674629782,15.696178203662623,8.199217706262697,17.87386262696836,14.477235546705424,13.860427507788165,22.252935681712167,17.82806671500815,6.4629863992273915,12.954086874429272,10.679530560805105,7.8350941186725285,16.83856732601104,13.664384548704462
10,10.136530848125886,18.957841372018517,15.765650950235763,9.159130696583954,18.157910103365772,14.704428692524411,12.885095387600611,22.73605582544962,18.29679331944795,7.431724454605873,13.105063713539947,10.625006920334354,8.474270753897134,16.87790956370521,13.805775625054924
11,11.221465342226697,19.204833193066328,15.778156537247138,10.359243615289845,18.401796966087076,14.79831249120484,11.926935741868423,23.826109484898126,19.185861752586504,8.385288541841415,13.284972440333537,10.812399421690275,9.204573151344356,16.933857001332754,13.845675824456851
12,12.234472633836257,19.489430072241547,15.598408855335647,11.476681851947284,18.407111332534328,14.726707940386188,11.569378589963527,24.994082447603063,20.092119502686227,9.19767383554003,13.39321827969136,10.647768052225072,9.86348390010329,17.272136727920937,14.01707736682935
13,13.017897741859326,20.375082893928145,16.069282938422703,12.20458856297834,18.93242556364016,14.964474080836869,12.146312047841064,26.363656468903542,21.225492472147998,9.642606273849495,13.966120440678209,11.089240658161103,10.665395721879918,18.226315378573716,14.638744180659415
14,13.720410883942758,20.718391821194466,16.184101696938686,12.806267516649783,19.28117104356585,14.956310844881287,13.408344740589715,27.290481817274962,22.100440486282828,9.741966577389904,13.797112809695044,10.924309755835262,11.759856336483441,18.933543334734207,14.991741071808711
